sample,fastq_1,fastq_2,antibody,control
M1_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_11_Senatorov_11/11_Senatorov_11_S12_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_11_Senatorov_11/11_Senatorov_11_S12_R2_001.fastq.gz,H3K27Ac,M1_TE input
H1_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_12_Senatorov_12/12_Senatorov_12_S16_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_12_Senatorov_12/12_Senatorov_12_S16_R2_001.fastq.gz,H3K27Ac,H1_TE input
170.2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_13_Senatorov_13/13_Senatorov_13_S20_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_13_Senatorov_13/13_Senatorov_13_S20_R2_001.fastq.gz,H3K27Ac,170.2_TE input
M2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_14_Senatorov_14/14_Senatorov_14_S24_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_14_Senatorov_14/14_Senatorov_14_S24_R2_001.fastq.gz,H3K27Ac,M2_TE input
H2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_15_Senatorov_15/15_Senatorov_15_S28_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_15_Senatorov_15/15_Senatorov_15_S28_R2_001.fastq.gz,H3K27Ac,H2_TE input
170.3T_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_16_Senatorov_16/16_Senatorov_16_S32_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_16_Senatorov_16/16_Senatorov_16_S32_R2_001.fastq.gz,H3K27Ac,170.3T_TE input
M1r2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_29_Senatorov_29/29_Senatorov_29_S22_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_29_Senatorov_29/29_Senatorov_29_S22_R2_001.fastq.gz,H3K27Ac,M1r2_TE input
H1r2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_30_Senatorov_30/30_Senatorov_30_S26_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_30_Senatorov_30/30_Senatorov_30_S26_R2_001.fastq.gz,H3K27Ac,H1r2_TE input
170.2r2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_31_Senatorov_31/31_Senatorov_31_S30_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_31_Senatorov_31/31_Senatorov_31_S30_R2_001.fastq.gz,H3K27Ac,170.2r2_TE input
M2r2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_32_Senatorov_32/32_Senatorov_32_S34_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_32_Senatorov_32/32_Senatorov_32_S34_R2_001.fastq.gz,H3K27Ac,M2r2_TE input
H2r2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_33_Senatorov_33/33_Senatorov_33_S5_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_33_Senatorov_33/33_Senatorov_33_S5_R2_001.fastq.gz,H3K27Ac,H2r2_TE input
170.3r2_H3K27Ac,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_34_Senatorov_34/34_Senatorov_34_S10_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_34_Senatorov_34/34_Senatorov_34_S10_R2_001.fastq.gz,H3K27Ac,170.3r2_TE input
M1_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_1_Senatorov_1/1_Senatorov_1_S1_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_1_Senatorov_1/1_Senatorov_1_S1_R2_001.fastq.gz,,
M1_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_1_Senatorov_1/1_Senatorov_1_S1_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_1_Senatorov_1/1_Senatorov_1_S1_R2_001.fastq.gz,,
H1_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_2_Senatorov_2/2_Senatorov_2_S2_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_2_Senatorov_2/2_Senatorov_2_S2_R2_001.fastq.gz,,
H1_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_2_Senatorov_2/2_Senatorov_2_S6_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_2_Senatorov_2/2_Senatorov_2_S6_R2_001.fastq.gz,,
170.2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_3_Senatorov_3/3_Senatorov_3_S3_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_3_Senatorov_3/3_Senatorov_3_S3_R2_001.fastq.gz,,
170.2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_3_Senatorov_3/3_Senatorov_3_S11_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_3_Senatorov_3/3_Senatorov_3_S11_R2_001.fastq.gz,,
M2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_4_Senatorov_4/4_Senatorov_4_S4_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_4_Senatorov_4/4_Senatorov_4_S4_R2_001.fastq.gz,,
M2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_4_Senatorov_4/4_Senatorov_4_S15_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_4_Senatorov_4/4_Senatorov_4_S15_R2_001.fastq.gz,,
H2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_5_Senatorov_5/5_Senatorov_5_S5_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_5_Senatorov_5/5_Senatorov_5_S5_R2_001.fastq.gz,,
H2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_5_Senatorov_5/5_Senatorov_5_S19_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_5_Senatorov_5/5_Senatorov_5_S19_R2_001.fastq.gz,,
170.3T_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_6_Senatorov_6/6_Senatorov_6_S6_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_AACW5M2M5/Sample_6_Senatorov_6/6_Senatorov_6_S6_R2_001.fastq.gz,,
170.3T_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_6_Senatorov_6/6_Senatorov_6_S23_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_6_Senatorov_6/6_Senatorov_6_S23_R2_001.fastq.gz,,
M1r2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_17_Senatorov_17/17_Senatorov_17_S3_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_17_Senatorov_17/17_Senatorov_17_S3_R2_001.fastq.gz,,
H1r2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_18_Senatorov_18/18_Senatorov_18_S8_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_18_Senatorov_18/18_Senatorov_18_S8_R2_001.fastq.gz,,
170.2r2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_19_Senatorov_19/19_Senatorov_19_S13_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_19_Senatorov_19/19_Senatorov_19_S13_R2_001.fastq.gz,,
M2r2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_20_Senatorov_20/20_Senatorov_20_S17_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_20_Senatorov_20/20_Senatorov_20_S17_R2_001.fastq.gz,,
H2r2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_21_Senatorov_21/21_Senatorov_21_S21_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_21_Senatorov_21/21_Senatorov_21_S21_R2_001.fastq.gz,,
170.3r2_TE input,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_22_Senatorov_22/22_Senatorov_22_S25_R1_001.fastq.gz,/data/capaldobj/incoming-nih-dme/CS035088-chip-seq-ilya-hnf1a//Flowcell_HJL57DRX3/Sample_22_Senatorov_22/22_Senatorov_22_S25_R2_001.fastq.gz,,
