Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,chip_antibody_vendor,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,TISSUE
SRR11856208,ChIP-Seq,76,4778543700,PRJNA540151,SAMN15032555,1949198016,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8406421,GSM4569839,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T18:24:00Z,1,GSM4569839,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856209,ChIP-Seq,76,4368069448,PRJNA540151,SAMN15032554,2022706454,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8406422,GSM4569840,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:50:00Z,1,GSM4569840,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856210,ChIP-Seq,76,6034200196,PRJNA540151,SAMN15032553,2961148594,GEO,AR,Santa Cruz Biotechnology,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8406423,GSM4569841,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:54:00Z,1,GSM4569841,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856211,ChIP-Seq,76,7768324116,PRJNA540151,SAMN15032552,3611397022,GEO,AR,Santa Cruz Biotechnology,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8406424,GSM4569842,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T15:02:00Z,1,GSM4569842,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856212,ChIP-Seq,76,3163960104,PRJNA540151,SAMN15032551,1382041016,GEO,AR,Santa Cruz Biotechnology,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8406425,GSM4569843,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:36:00Z,1,GSM4569843,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856213,ChIP-Seq,76,4092247816,PRJNA540151,SAMN15032550,1747219845,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8406426,GSM4569844,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:40:00Z,1,GSM4569844,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856214,ChIP-Seq,65,2203717425,PRJNA540151,SAMN15032549,1000026880,GEO,AR,Millipore,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8406427,GSM4569845,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:36:00Z,1,GSM4569845,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856215,ChIP-Seq,65,1258807290,PRJNA540151,SAMN15032584,655341931,GEO,AR,Millipore,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8406428,GSM4569846,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:33:00Z,1,GSM4569846,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856216,ChIP-Seq,65,1543233705,PRJNA540151,SAMN15032583,801675686,GEO,AR,Millipore,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8406445,GSM4569847,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569847,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856217,ChIP-Seq,65,1417427895,PRJNA540151,SAMN15032582,734808659,GEO,AR,Millipore,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8406446,GSM4569848,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569848,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856218,ChIP-Seq,65,1399863595,PRJNA540151,SAMN15032581,596484017,GEO,AR,Millipore,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8406447,GSM4569849,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569849,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856219,ChIP-Seq,65,1509393275,PRJNA540151,SAMN15032580,641702686,GEO,AR,Millipore,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8406448,GSM4569850,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:33:00Z,1,GSM4569850,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856220,ChIP-Seq,65,1149211635,PRJNA540151,SAMN15032579,490064474,GEO,AR,Millipore,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8406449,GSM4569851,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:33:00Z,1,GSM4569851,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856221,ChIP-Seq,65,1553519110,PRJNA540151,SAMN15032578,655612130,GEO,AR,Millipore,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406450,GSM4569852,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569852,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856222,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032577,587775356,GEO,AR,Santa Cruz Biotechnology,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8406451,GSM4569853,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:00:00Z,1,GSM4569853,CRPC PDX,SRP194063,CRPC pdx
SRR11856223,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032576,692785333,GEO,AR,Santa Cruz Biotechnology,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8406452,GSM4569854,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:11:00Z,1,GSM4569854,CRPC PDX,SRP194063,CRPC pdx
SRR11856224,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032575,571674363,GEO,AR,Santa Cruz Biotechnology,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8406453,GSM4569855,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:08:00Z,1,GSM4569855,CRPC PDX,SRP194063,CRPC pdx
SRR11856225,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032574,635222273,GEO,AR,Santa Cruz Biotechnology,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8406454,GSM4569856,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:09:00Z,1,GSM4569856,CRPC PDX,SRP194063,CRPC pdx
SRR11856226,ChIP-Seq,75,741363300,PRJNA540151,SAMN15032573,289049331,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8406455,GSM4569857,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T18:51:00Z,1,GSM4569857,CRPC PDX,SRP194063,CRPC pdx
SRR11856227,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032572,600862810,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8406456,GSM4569858,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:10:00Z,1,GSM4569858,CRPC PDX,SRP194063,CRPC pdx
SRR11856228,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032571,586101330,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8406457,GSM4569859,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:09:00Z,1,GSM4569859,CRPC PDX,SRP194063,CRPC pdx
SRR11856229,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032570,592249173,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8406458,GSM4569860,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:09:00Z,1,GSM4569860,CRPC PDX,SRP194063,CRPC pdx
SRR11856230,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032567,623784591,GEO,AR,Santa Cruz Biotechnology,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8406459,GSM4569861,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T18:55:00Z,1,GSM4569861,CRPC PDX,SRP194063,CRPC pdx
SRR11856231,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032518,576651854,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8406460,GSM4569862,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T18:53:00Z,1,GSM4569862,CRPC PDX,SRP194063,CRPC pdx
SRR11856232,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032517,578817363,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8406477,GSM4569863,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T18:56:00Z,1,GSM4569863,CRPC PDX,SRP194063,CRPC pdx
SRR11856233,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032516,604217179,GEO,AR,Santa Cruz Biotechnology,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8406478,GSM4569864,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:08:00Z,1,GSM4569864,CRPC PDX,SRP194063,CRPC pdx
SRR11856234,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032515,582098334,GEO,AR,Santa Cruz Biotechnology,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8406479,GSM4569865,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T18:59:00Z,1,GSM4569865,CRPC PDX,SRP194063,CRPC pdx
SRR11856235,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032569,590810871,GEO,AR,Santa Cruz Biotechnology,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8406480,GSM4569866,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T18:57:00Z,1,GSM4569866,CRPC PDX,SRP194063,CRPC pdx
SRR11856236,ChIP-Seq,75,1500000000,PRJNA540151,SAMN15032568,583331662,GEO,AR,Santa Cruz Biotechnology,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8406481,GSM4569867,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:09:00Z,1,GSM4569867,CRPC PDX,SRP194063,CRPC pdx
SRR11856237,ChIP-Seq,75,994937550,PRJNA540151,SAMN15032514,348996702,GEO,FOXA1,Abcam,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8406482,GSM4569868,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:27:00Z,1,GSM4569868,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856238,ChIP-Seq,75,2594329200,PRJNA540151,SAMN15032513,970584667,GEO,FOXA1,Abcam,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8406483,GSM4569869,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:29:00Z,1,GSM4569869,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856239,ChIP-Seq,75,4461477300,PRJNA540151,SAMN15032512,1940692773,GEO,FOXA1,Abcam,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8406484,GSM4569870,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:53:00Z,1,GSM4569870,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856240,ChIP-Seq,75,3493734750,PRJNA540151,SAMN15032511,1519140857,GEO,FOXA1,Abcam,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8406485,GSM4569871,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:49:00Z,1,GSM4569871,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856241,ChIP-Seq,75,2104034100,PRJNA540151,SAMN15032548,753353606,GEO,FOXA1,Abcam,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX8406486,GSM4569872,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-29T19:30:00Z,1,GSM4569872,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856242,ChIP-Seq,65,1624424100,PRJNA540151,SAMN15032547,738255367,GEO,FOXA1,Abcam,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8406487,GSM4569873,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569873,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856243,ChIP-Seq,65,2034033755,PRJNA540151,SAMN15032546,1061969878,GEO,FOXA1,Abcam,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8406488,GSM4569874,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569874,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856244,ChIP-Seq,65,1852655025,PRJNA540151,SAMN15032545,969815449,GEO,FOXA1,Abcam,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8406489,GSM4569875,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569875,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856245,ChIP-Seq,65,1638865280,PRJNA540151,SAMN15032542,790609165,GEO,FOXA1,Abcam,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8406490,GSM4569876,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569876,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856246,ChIP-Seq,65,1888558750,PRJNA540151,SAMN15032541,988066546,GEO,FOXA1,Abcam,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8406491,GSM4569877,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569877,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856247,ChIP-Seq,65,1631245265,PRJNA540151,SAMN15032540,705791840,GEO,FOXA1,Abcam,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8406492,GSM4569878,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569878,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856248,ChIP-Seq,65,1190165210,PRJNA540151,SAMN15032539,578250804,GEO,FOXA1,Abcam,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8406500,GSM4569879,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569879,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856249,ChIP-Seq,65,1243634795,PRJNA540151,SAMN15032538,535318505,GEO,FOXA1,Abcam,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8406501,GSM4569880,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569880,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856250,ChIP-Seq,65,1464890635,PRJNA540151,SAMN15032537,637070797,GEO,FOXA1,Abcam,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8406502,GSM4569881,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569881,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856251,ChIP-Seq,65,1789896355,PRJNA540151,SAMN15032544,813733095,GEO,FOXA1,Abcam,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406503,GSM4569882,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569882,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856252,ChIP-Seq,65,1700595780,PRJNA540151,SAMN15032543,886532491,GEO,FOXA1,Abcam,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406504,GSM4569883,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569883,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856253,ChIP-Seq,65,1456788970,PRJNA540151,SAMN15032536,760421265,GEO,FOXA1,Abcam,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8406505,GSM4569884,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569884,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856254,ChIP-Seq,65,1475028880,PRJNA540151,SAMN15032535,730263835,GEO,FOXA1,Abcam,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8406506,GSM4569885,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569885,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856255,ChIP-Seq,65,1577092595,PRJNA540151,SAMN15032534,824768869,GEO,FOXA1,Abcam,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8406507,GSM4569886,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:34:00Z,1,GSM4569886,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
SRR11856256,ChIP-Seq,65,1608206665,PRJNA540151,SAMN15032533,692681611,GEO,FOXA1,Abcam,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406508,GSM4569887,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,2020-05-27T14:35:00Z,1,GSM4569887,Patient localized prostate tissue,SRP194063,Patient localized prostate tissue
